@relation results

@attribute id numeric
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute 'volume (btc)' numeric
@attribute 'volume (currency)' numeric
@attribute 'class label' {positive,negative}

@data
1,5.8,6,5.65,5.97,58.371382,346.097389,positive
2,5.58,5.72,5.52,5.53,61.145984,341.854813,positive
3,5.12,5.24,5,5.13,80.140795,408.259002,positive
4,4.82,4.87,4.8,4.85,39.914007,193.763146,negative
5,4.87,4.87,4.87,4.87,0.3,1.461,positive
6,4.87,4.92,4.81,4.92,119.8128,579.843103,negative
7,4.9,4.9,4.9,4.9,20,98,negative
8,4.92,5.66,4.92,5.66,89.280711,481.049263,negative
9,5.7,5.79,5.66,5.66,17.629322,100.594234,positive
10,5.68,5.72,5.68,5.72,43.778422,249.403941,negative
11,5.7,5.72,5.7,5.72,20.680037,118.023015,negative
12,5.7,5.76,5.68,5.68,90.587066,518.383945,negative
13,6.05,6.05,6.05,6.05,12.22,73.931,positive
14,6.06,6.06,4.8,4.8,39.578463,236.800854,positive
15,4.85,4.92,4.85,4.92,24.3545,119.22506,positive
16,4.9,4.91,4.82,4.82,83.053325,403.846606,positive
17,4.81,4.82,4.81,4.82,46.9645,226.197226,negative
18,0,0,0,0,0,0,negative
19,0,0,0,0,0,0,negative
20,0,0,0,0,0,0,negative
21,4.85,4.87,4.83,4.87,30.57595,148.225232,negative
22,4.86,5.3,4.8,4.98,142.521622,701.88148,negative
23,4.92,6.25,4.8,4.92,113.72,571.9455,positive
24,4.88,4.99,4.8,4.8,170.843549,838.644692,positive
25,4.8,4.81,4.59,4.61,94.64,443.6372,positive
26,4.57,4.57,3.99,3.99,56,249.51,positive
27,3.89,3.89,3.89,3.89,11,42.79,negative
28,3.99,4.51,3.99,4.51,132.5,596.025002,positive
29,3.98,4.1,3.98,4.1,78.08,312.23915,positive
30,3.95,3.99,3.93,3.93,79.523525,313.637929,negative
31,3.93,3.97,3.93,3.97,109.621766,433.326377,negative
32,4.05,4.05,4.05,4.05,96.977513,392.758926,negative
33,0,0,0,0,0,0,negative
34,0,0,0,0,0,0,negative
35,3.92,3.92,3.92,3.92,10.24,40.1408,negative
36,0,0,0,0,0,0,negative
37,0,0,0,0,0,0,negative
38,2.22,2.29,2.22,2.24,61.972332,139.285928,positive
39,2.22,2.27,2.22,2.27,41.463341,92.892806,negative
40,0,0,0,0,0,0,negative
41,0,0,0,0,0,0,negative
42,2.99,2.99,2.92,2.92,64.54,189.0945,positive
43,2.66,2.72,2.66,2.72,130.299324,350.696604,positive
44,2.72,3,2.67,2.69,268.268973,719.877157,negative
45,0,0,0,0,0,0,negative
46,3.07,4.36,3.07,4.2,118.377873,445.379526,negative
47,3.69,4.4,3.69,3.95,88.432425,342.345648,positive
48,3.85,3.85,3.2,3.5,116.381395,427.186437,positive
49,3.25,3.55,3.2,3.3,68.994043,226.894159,negative
50,3.32,3.33,3.32,3.33,38.777121,128.835466,negative
51,0,0,0,0,0,0,negative
52,0,0,0,0,0,0,negative
53,3.27,3.55,3.21,3.55,117.081039,389.570504,positive
54,3.21,3.21,3,3,103.512,324.1387,positive
55,2.95,2.95,2.95,2.95,203.388,599.9946,negative
56,0,0,0,0,0,0,negative
57,3.08,3.08,3.08,3.08,47.472124,146.214142,negative
58,3.09,3.3,3.09,3.3,58.86052,188.319463,positive
59,3.25,3.3,2.95,3.3,121.667773,388.045938,negative
60,3.3,3.3,3.3,3.3,65.434,215.9322,negative
61,3.35,3.35,3.35,3.35,2.79,9.3465,negative
62,3.35,3.35,3.35,3.35,29.489552,98.79,positive
63,2.95,2.95,2.47,2.47,183.4,505.874,positive
64,2.99,3,2.5,2.5,97.341611,256.464282,negative
65,2.51,3,2.51,3,5.616667,16.7422,positive
66,3,3,2.5,2.99,17.018629,47.356186,positive
67,2.5,2.79,2.5,2.5,88.44,224.29,positive
68,2.5,2.5,2.43,2.43,48.872124,119.54746,positive
69,2.37,2.37,2.37,2.37,11,26.07,negative
70,2.45,3,2.25,2.25,290.526776,707.5192,negative
71,2.53,2.59,2.46,2.59,328.493346,811.138089,negative
72,0,0,0,0,0,0,negative
73,2.54,3,2.54,3,9.144609,26.253227,negative
74,2.5,15,2.5,2.75,179.787266,566.879,positive
75,2.77,2.77,2.77,2.77,10.090253,27.95,negative
76,0,0,0,0,0,0,negative
77,2.67,2.78,2.66,2.66,180.367149,486.85,negative
78,2.69,3.23,2.69,2.72,62.464649,173.265897,negative
79,3.19,3.19,3.19,3.19,14.539185,46.38,negative
80,3.46,3.48,3.3,3.42,233.780033,805.790644,positive
81,3.45,3.45,3.04,3.04,131.75704,414.649203,positive
82,2.93,2.93,2.93,2.93,0.5,1.465,negative
83,0,0,0,0,0,0,negative
84,2.82,2.99,2.82,2.93,207.363266,612.076514,negative
85,2.9,3.25,2.89,2.98,216.109289,659.727895,negative
86,3.05,3.35,3.05,3.3,233.2092,746.118478,positive
87,3.27,3.5,2.95,3.3,115.717727,366.564446,negative
88,0,0,0,0,0,0,negative
89,3.2,3.2,3,3.2,12.284375,38.31,negative
90,3.17,3.37,3.17,3.27,157.778895,517.137686,negative
91,3.37,3.6,3.37,3.48,75.618975,265.335813,positive
92,3.25,3.59,3.25,3.56,66.150555,228.23,positive
93,3.42,3.49,3.42,3.47,90.764731,312.384988,positive
94,3.39,3.45,3.39,3.45,102.742029,352.96,negative
95,3.25,3.5,3.25,3.44,84.613001,291.119609,negative
96,0,0,0,0,0,0,negative
97,3.25,3.5,3.25,3.5,17.242857,58.59,negative
98,3.5,3.98,3.5,3.85,134.734292,513.292936,negative
99,4.75,4.75,4.53,4.55,94.743353,432.98,positive
100,4.38,4.38,4.38,4.38,20.899543,91.54,positive
101,4.19,4.19,4.17,4.17,8.535264,35.71,negative
102,3.86,4.35,3.84,4.22,149.492562,625.814286,negative
103,4.33,4.33,4.33,4.33,27.224795,117.883361,positive
104,4.32,4.32,4.27,4.27,24.182423,104.080567,positive
105,4.27,4.33,4.27,4.33,56.736605,243.7405,negative
106,4.33,4.33,4.29,4.29,58.073867,250.336983,positive
107,4.29,4.3,4.25,4.3,35.550117,151.724196,negative
108,4.3,4.5,4.3,4.5,36.560962,158.978804,positive
109,4.26,4.5,4.21,4.21,56.74005,240.143609,negative
110,4.39,4.58,4.39,4.58,95.317878,425.320338,negative
111,4.58,5,4.58,5,21.602,105.77916,negative
112,5,5,5,5,19.048,95.24,negative
113,5.32,5.32,5.14,5.29,88.037281,464.80521,negative
114,4.93,5.57,4.93,5.57,107.23326,568.076197,negative
115,5.72,6.65,5.72,6.65,94.801829,587.734767,negative
116,6.65,6.9,6,6,33.882747,222.805219,negative
117,6.8,6.8,6.8,6.8,0.295858,2.011834,negative
118,6.9,7,6.9,7,5,34.6,positive
119,6.99,6.99,6.23,6.3,66.869323,443.04472,negative
120,6.24,7.14,6.24,7.14,62.28998,413.204084,negative
121,7.14,7.33,6.25,7,105.358934,743.011615,negative
122,6.95,7.38,6.51,6.51,82.301632,598.061631,positive
123,6.8,7.36,6.6,6.6,48.970145,344.937355,positive
124,6.5,6.5,6.3,6.3,16.836,108.4868,negative
125,7.15,7.15,7.15,7.15,16.6993,119.4,positive
126,6.2,7.1,6.2,7.1,12.649296,86.75,positive
127,6.5,6.9,6,6,80.514008,493.405789,negative
128,5.99,7.1,5.99,7.1,133.446769,820.932602,negative
129,5.52,7,5.52,6.22,246.715819,1542.221227,negative
130,6.9,6.95,6.55,6.95,95.825999,647.201739,positive
131,6.3,6.77,6.28,6.77,81.413852,512.262573,positive
132,6.79,6.83,6.03,6.79,81.271033,501.406607,negative
133,6.5,6.52,6,6.52,94.920629,608.483847,negative
134,6.52,6.57,6,6.55,85.446241,550.635661,positive
135,6.26,6.86,6,6.31,81.123256,505.991269,positive
136,6.27,6.3,5.5,5.5,29.919071,183.922027,positive
137,3.8,6.03,3.8,5.88,92.079993,528.437882,positive
138,4.91,4.91,4.91,4.91,0.25,1.2275,negative
139,5.89,5.9,5.3,5.5,9.454846,52.210469,negative
140,5.3,5.58,5.3,5.58,15.16,83.9208,negative
141,5.7,6.22,3.8,5.3,110.503333,639.078531,negative
142,5.53,5.99,5.52,5.88,12.058806,71.2027,negative
143,5.99,6.28,5.89,6.28,251.00093,1541.851904,positive
144,6.29,6.35,5.93,6.3,155.552453,950.749668,positive
145,6.35,6.5,5.94,5.94,67.634994,407.870047,positive
146,5.93,6.15,5.6,5.6,47.850424,280.366294,positive
147,5.6,5.9,5.2,5.6,29.178338,161.848679,negative
148,5.5,5.88,5.5,5.69,165.405419,937.134707,negative
149,5.79,5.87,5.66,5.87,83.57202,477.33203,negative
150,5.52,5.89,5.51,5.89,83.603189,482.90983,negative
151,5.88,5.88,5.8,5.88,176.930504,1040.23518,positive
152,5.71,5.71,5.5,5.5,1.879487,10.374875,negative
153,5.78,5.78,5.55,5.67,64.843432,371.291862,positive
154,5.53,5.79,5.5,5.79,99.784439,571.311508,positive
155,5.2,5.8,4.56,4.89,128.344934,662.527248,positive
156,4.9,5.08,4.69,4.69,67.789165,335.70689,positive
157,4.5,4.98,4.15,4.51,115.623921,535.147307,negative
158,4.67,4.8,4.5,4.67,244.670289,1151.243869,positive
159,4.67,4.73,4.14,4.23,254.390252,1121.281464,positive
160,4.38,4.38,4.3,4.38,92.683544,401.211082,negative
161,4.72,4.72,4.4,4.44,315.939254,1439.906722,positive
162,4.52,4.58,4.3,4.58,358.449201,1595.156713,negative
163,4.47,4.59,4.46,4.51,75.308766,341.357038,negative
164,4.59,5.22,4.55,5.22,714.844009,3516.151067,negative
165,5.12,5.22,4.95,4.95,37.597118,193.547453,positive
166,5.11,5.11,5,5,119.807402,600.53,positive
167,4.79,5.07,4.78,4.98,40.9,201.4,negative
168,4.97,5.1,4.95,5.04,309.052314,1563.056078,positive
169,5.09,5.1,4.71,4.88,440.241387,2211.574505,positive
170,4.97,5,4.85,4.99,242.237846,1197.869876,negative
171,4.99,5.05,4.9,5,291.163581,1455.037215,positive
172,4.99,4.99,4.64,4.79,245.974712,1166.586253,positive
173,4.81,4.99,4.6,4.65,125.918315,589.854452,negative
174,4.78,4.81,4.77,4.81,113.608415,544.863926,negative
175,4.8,5.06,4.77,5.06,518.054552,2569.922403,negative
176,5,5.05,4.95,4.98,296.627942,1481.534958,negative
177,5.05,5.09,4.93,4.93,373.492345,1894.89873,positive
178,4.94,5.08,4.87,5.01,326.565755,1620.127647,negative
