Date,Value
2017-03-24,124.1911
2017-03-23,124.3669
2017-03-22,124.3672
2017-03-21,124.3952
2017-03-20,124.6236
2017-03-17,124.8794
2017-03-16,125.1158
2017-03-15,126.0056
2017-03-14,126.2268
2017-03-13,126.0544
2017-03-10,126.2599
2017-03-09,126.6562
2017-03-08,126.5172
2017-03-07,126.0469
2017-03-06,126.0546
2017-03-03,126.2717
2017-03-02,126.4661
2017-03-01,126.044
2017-02-28,125.5992
2017-02-27,125.2778
2017-02-24,125.4154
2017-02-23,125.2481
2017-02-22,125.8346
2017-02-21,126.2335
2017-02-20,126.0389
2017-02-17,126.0425
2017-02-16,125.6195
2017-02-15,125.8388
2017-02-14,126.0155
2017-02-13,126.017
2017-02-10,125.823
2017-02-09,125.9791
2017-02-08,125.815
2017-02-07,126.0999
2017-02-06,125.6922
2017-02-03,125.2827
2017-02-02,125.6026
2017-02-01,126.1359
2017-01-31,125.9632
2017-01-30,126.4712
2017-01-27,126.8371
2017-01-26,127.0451
2017-01-25,126.698
2017-01-24,126.7655
2017-01-23,126.9517
2017-01-20,128.0386
2017-01-19,128.06
2017-01-18,127.411
2017-01-17,126.9705
2017-01-16,127.7692
2017-01-13,127.7486
2017-01-12,127.5389
2017-01-11,128.8561
2017-01-10,128.354
2017-01-09,128.2527
2017-01-06,128.1802
2017-01-05,127.7769
2017-01-04,128.7344
2017-01-03,128.9627
2017-01-02,128.2103
2016-12-30,128.2131
2016-12-29,128.5027
2016-12-28,129.0778
2016-12-27,128.7938
2016-12-23,128.6197
2016-12-22,128.6795
2016-12-21,128.4245
2016-12-20,128.4901
2016-12-19,128.2576
2016-12-16,128.2517
2016-12-15,128.6568
2016-12-14,126.5634
2016-12-13,126.6047
2016-12-12,126.7305
2016-12-09,127.1143
2016-12-08,126.8144
2016-12-07,126.4583
2016-12-06,126.7412
2016-12-05,126.9266
2016-12-02,127.141
2016-12-01,127.4882
2016-11-30,127.5646
2016-11-29,127.4658
2016-11-28,127.5444
2016-11-25,127.8604
2016-11-23,127.8914
2016-11-22,127.2312
2016-11-21,127.2803
2016-11-18,127.3803
2016-11-17,126.6666
2016-11-16,126.5903
2016-11-15,126.5164
2016-11-14,126.9848
2016-11-10,125.6112
2016-11-09,124.2711
2016-11-08,122.8327
2016-11-07,123.076
2016-11-04,123.1203
2016-11-03,123.2915
2016-11-02,123.4359
2016-11-01,123.482
2016-10-31,123.5141
2016-10-28,123.5783
2016-10-27,123.6923
2016-10-26,123.2764
2016-10-25,123.1234
2016-10-24,123.314
2016-10-21,123.3637
2016-10-20,122.84
2016-10-19,122.4804
2016-10-18,122.5884
2016-10-17,123.0115
2016-10-14,123.156
2016-10-13,123.0637
2016-10-12,123.1617
2016-10-11,122.8552
2016-10-07,122.6397
2016-10-06,122.3816
2016-10-05,122.1887
2016-10-04,122.0467
2016-10-03,121.8957
2016-09-30,121.6921
2016-09-29,121.696
2016-09-28,122.0358
2016-09-27,121.9609
2016-09-26,122.1438
2016-09-23,122.1416
2016-09-22,121.6889
2016-09-21,122.4165
2016-09-20,122.6369
2016-09-19,122.3581
2016-09-16,122.6698
2016-09-15,121.9751
2016-09-14,121.9688
2016-09-13,122.0296
2016-09-12,121.656
2016-09-09,121.4739
2016-09-08,120.7061
2016-09-07,120.4057
2016-09-06,120.4402
2016-09-02,121.5145
2016-09-01,121.6787
2016-08-31,121.8847
2016-08-30,121.7676
2016-08-29,121.3439
2016-08-26,120.6506
2016-08-25,120.6161
2016-08-24,120.7641
2016-08-23,120.3652
2016-08-22,120.4329
2016-08-19,120.2269
2016-08-18,119.6884
2016-08-17,120.3217
2016-08-16,119.7535
2016-08-15,120.2457
2016-08-12,120.5257
2016-08-11,120.52
2016-08-10,120.6629
2016-08-09,121.0973
2016-08-08,121.5492
2016-08-05,121.7767
2016-08-04,121.3385
2016-08-03,121.3934
