id,open,high,low,close,volume (btc),volume (currency),class label
1,5.8,6.0,5.65,5.97,58.37138238,346.097389394,BUY
2,5.58,5.72,5.52,5.53,61.14598362,341.854813235,SELL
3,5.12,5.24,5.0,5.13,80.1407952,408.259002164,SELL
4,4.82,4.87,4.8,4.85,39.9140068,193.7631466,SELL
5,4.87,4.87,4.87,4.87,0.3,1.461,SELL
6,4.87,4.92,4.81,4.92,119.8128,579.843102741,SELL
7,4.9,4.9,4.9,4.9,20.0,98.0,SELL
8,4.92,5.66,4.92,5.66,89.28071068,481.049262912,BUY
9,5.7,5.79,5.66,5.66,17.62932238,100.594233566,BUY
10,5.68,5.72,5.68,5.72,43.77842238,249.403941118,BUY
11,5.7,5.72,5.7,5.72,20.68003681,118.023014807,HOLD
12,5.7,5.76,5.68,5.68,90.58706633,518.383945251,HOLD
13,6.05,6.05,6.05,6.05,12.22,73.931,HOLD
14,6.06,6.06,4.8,4.8,39.57846334,236.800854428,BUY
15,4.85,4.92,4.85,4.92,24.3545,119.22506,HOLD
16,4.9,4.91,4.82,4.82,83.0533258,403.846605908,SELL
17,4.81,4.82,4.81,4.82,46.9645,226.197226,SELL
18,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
19,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
20,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
21,4.85,4.87,4.83,4.87,30.57595,148.2252315,BUY
22,4.86,5.3,4.8,4.98,142.52162238,701.881480452,BUY
23,4.92,6.25,4.8,4.92,113.72,571.9455,BUY
24,4.88,4.99,4.8,4.8,170.84354937,838.644692166,BUY
25,4.8,4.81,4.59,4.61,94.64,443.6372,BUY
26,4.57,4.57,3.99,3.99,56.0,249.51,HOLD
27,3.89,3.89,3.89,3.89,11.0,42.79,HOLD
28,3.99,4.51,3.99,4.51,132.5,596.025001536,BUY
29,3.98,4.1,3.98,4.1,78.08,312.23915,HOLD
30,3.95,3.99,3.93,3.93,79.523525,313.63792864,HOLD
31,3.93,3.97,3.93,3.97,109.621766,433.32637745,BUY
32,4.05,4.05,4.05,4.05,96.97751266,392.758926273,BUY
33,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
34,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
35,3.92,3.92,3.92,3.92,10.24,40.1408,BUY
36,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
37,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
38,2.22,2.29,2.22,2.24,61.972332,139.2859281,HOLD
39,2.22,2.27,2.22,2.27,41.46334066,92.8928059918,SELL
40,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
41,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
42,2.99,2.99,2.92,2.92,64.54,189.0945,SELL
43,2.66,2.72,2.66,2.72,130.29932366,350.696604355,SELL
44,2.72,3.0,2.67,2.69,268.26897266,719.877157002,HOLD
45,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
46,3.07,4.36,3.07,4.2,118.37787266,445.379526066,BUY
47,3.69,4.4,3.69,3.95,88.432425,342.34564825,BUY
48,3.85,3.85,3.2,3.5,116.381395,427.18643725,BUY
49,3.25,3.55,3.2,3.3,68.99404308,226.894158956,HOLD
50,3.32,3.33,3.32,3.33,38.7771206,128.83546607,BUY
51,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
52,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
53,3.27,3.55,3.21,3.55,117.08103867,389.570504439,HOLD
54,3.21,3.21,3.0,3.0,103.512,324.1387,SELL
55,2.95,2.95,2.95,2.95,203.388,599.9946,SELL
56,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
57,3.08,3.08,3.08,3.08,47.47212389,146.214141581,BUY
58,3.09,3.3,3.09,3.3,58.86052015,188.319463035,BUY
59,3.25,3.3,2.95,3.3,121.66777314,388.045937627,BUY
60,3.3,3.3,3.3,3.3,65.434,215.9322,BUY
61,3.35,3.35,3.35,3.35,2.79,9.3465,BUY
62,3.35,3.35,3.35,3.35,29.48955224,98.790000004,BUY
63,2.95,2.95,2.47,2.47,183.4,505.874,BUY
64,2.99,3.0,2.5,2.5,97.3416118,256.464282119,BUY
65,2.51,3.0,2.51,3.0,5.61666667,16.74220001,HOLD
66,3.0,3.0,2.5,2.99,17.01862876,47.3561859462,SELL
67,2.5,2.79,2.5,2.5,88.44,224.29,SELL
68,2.5,2.5,2.43,2.43,48.87212355,119.547460226,SELL
69,2.37,2.37,2.37,2.37,11.0,26.07,HOLD
70,2.45,3.0,2.25,2.25,290.52677579,707.519199991,SELL
71,2.53,2.59,2.46,2.59,328.49334593,811.138088702,SELL
72,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
73,2.54,3.0,2.54,3.0,9.1446088,26.2532271838,SELL
74,2.5,15.0,2.5,2.75,179.78726599,566.878999992,HOLD
75,2.77,2.77,2.77,2.77,10.09025271,27.9500000067,SELL
76,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
77,2.67,2.78,2.66,2.66,180.36714898,486.850000007,SELL
78,2.69,3.23,2.69,2.72,62.46464882,173.265896505,SELL
79,3.19,3.19,3.19,3.19,14.53918495,46.3799999905,HOLD
80,3.46,3.48,3.3,3.42,233.78003348,805.790643545,BUY
81,3.45,3.45,3.04,3.04,131.75704018,414.64920322,HOLD
82,2.93,2.93,2.93,2.93,0.5,1.465,SELL
83,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
84,2.82,2.99,2.82,2.93,207.3632656,612.076513744,SELL
85,2.9,3.25,2.89,2.98,216.10928902,659.727894872,SELL
86,3.05,3.35,3.05,3.3,233.20920018,746.118477933,SELL
87,3.27,3.5,2.95,3.3,115.71772709,366.564446248,SELL
88,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
89,3.2,3.2,3.0,3.2,12.284375,38.31,HOLD
90,3.17,3.37,3.17,3.27,157.77889484,517.137685888,SELL
91,3.37,3.6,3.37,3.48,75.61897495,265.335813222,SELL
92,3.25,3.59,3.25,3.56,66.15055522,228.229999981,SELL
93,3.42,3.49,3.42,3.47,90.7647307,312.384988417,SELL
94,3.39,3.45,3.39,3.45,102.74202898,352.959999981,SELL
95,3.25,3.5,3.25,3.44,84.613001,291.119609154,SELL
96,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
97,3.25,3.5,3.25,3.5,17.24285714,58.58999999,SELL
98,3.5,3.98,3.5,3.85,134.73429197,513.292936466,SELL
99,4.75,4.75,4.53,4.55,94.74335338,432.980000007,BUY
100,4.38,4.38,4.38,4.38,20.89954338,91.5400000044,BUY
101,4.19,4.19,4.17,4.17,8.53526439,35.7100000003,SELL
102,3.86,4.35,3.84,4.22,149.49256188,625.814286083,SELL
103,4.33,4.33,4.33,4.33,27.22479474,117.883361224,SELL
104,4.32,4.32,4.27,4.27,24.182423,104.08056736,SELL
105,4.27,4.33,4.27,4.33,56.73660508,243.740499996,SELL
106,4.33,4.33,4.29,4.29,58.07386739,250.336983482,SELL
107,4.29,4.3,4.25,4.3,35.55011655,151.724195804,SELL
108,4.3,4.5,4.3,4.5,36.56096221,158.978804169,SELL
109,4.26,4.5,4.21,4.21,56.74004969,240.143609195,SELL
110,4.39,4.58,4.39,4.58,95.3178781,425.320337554,SELL
111,4.58,5.0,4.58,5.0,21.602,105.77916,SELL
112,5.0,5.0,5.0,5.0,19.048,95.24,SELL
113,5.32,5.32,5.14,5.29,88.03728092,464.805209506,SELL
114,4.93,5.57,4.93,5.57,107.23326023,568.076197478,SELL
115,5.72,6.65,5.72,6.65,94.80182926,587.734766709,SELL
116,6.65,6.9,6.0,6.0,33.88274671,222.805219044,SELL
117,6.8,6.8,6.8,6.8,0.29585799,2.011834332,BUY
118,6.9,7.0,6.9,7.0,5.0,34.6,SELL
119,6.99,6.99,6.23,6.3,66.8693229,443.044719718,SELL
120,6.24,7.14,6.24,7.14,62.28998018,413.204084418,BUY
121,7.14,7.33,6.25,7.0,105.35893402,743.011615154,BUY
122,6.95,7.38,6.51,6.51,82.30163181,598.06163103,BUY
123,6.8,7.36,6.6,6.6,48.97014484,344.937354639,BUY
124,6.5,6.5,6.3,6.3,16.836,108.4868,BUY
125,7.15,7.15,7.15,7.15,16.6993007,119.400000005,BUY
126,6.2,7.1,6.2,7.1,12.64929577,86.749999967,BUY
127,6.5,6.9,6.0,6.0,80.51400824,493.405788569,SELL
128,5.99,7.1,5.99,7.1,133.44676912,820.932602109,SELL
129,5.52,7.0,5.52,6.22,246.71581895,1542.22122679,BUY
130,6.9,6.95,6.55,6.95,95.82599863,647.201739156,BUY
131,6.3,6.77,6.28,6.77,81.41385241,512.26257306,BUY
132,6.79,6.83,6.03,6.79,81.27103303,501.406607217,BUY
133,6.5,6.52,6.0,6.52,94.92062909,608.483847482,BUY
134,6.52,6.57,6.0,6.55,85.44624147,550.635660543,BUY
135,6.26,6.86,6.0,6.31,81.1232564,505.991268957,BUY
136,6.27,6.3,5.5,5.5,29.91907058,183.922026676,HOLD
137,3.8,6.03,3.8,5.88,92.07999287,528.437882138,SELL
138,4.91,4.91,4.91,4.91,0.25,1.2275,SELL
139,5.89,5.9,5.3,5.5,9.45484643,52.2104692015,SELL
